Abbreviation	Category	Group	Pathology	Gene/Region	PMID
DYT28_Sadikovic	SNV	DYT28	Dystonia 28, childhood-onset (DYT28)	KMT2B	35047860
DYRK1A	SNV	DYRK1A	Intellectual developmental disorder, autosomal dominant 7	DYRK1A	34345024
Kleefstra_Sadikovic	SNV	Kleefstra	Kleefstra syndrome 1 (KLEFS1)	EHMT1, EHMT2	32109418
Kleefstra_Weksberg	SNV	Kleefstra	Kleefstra syndrome 1 (KLEFS1)	EHMT1	10.20517/jtgg.2020.23
KDM2B_RS	SNV	KDM2B	KDM2B-related syndrome	KDM2B	35047860
KDM2B_CxxC	SNV	KDM2B	KDM2B-related syndrome	KDM2B_CxxC domain	36322151
MRX93	SNV	MRX93	Intellectual developmental disorder, X-linked 93 (MRX93)	BRWD3	32109418
MRX97	SNV	MRX97	Intellectual developmental disorder, X-linked 97 (MRX97)	ZNF711	32109418
MRXSN	SNV	MRXSN	Intellectual developmental disorder, X-linked syndromic, Nascimento-type (MRXSN)	UBE2A	32109418
MRXSSR	SNV	MRXSSR	Intellectual developmental disorder, X-linked, Snyder-Robinson type (MRXSSR)	SMS	32109418
MRXSA_Schwartz	SNV	MRXSA_Schwartz	intellectual developmental disorder, X-linked, syndromic, Armfield type	FAM50A	33498634
MRXSA_Sadikovic	SNV	MRXSA_Sadikovic	Intellectual developmental disorder, X-linked, syndromic, Armfield type (MRXSA)	FAM50A	35047860
MRXSCJ_Sadikovic	SNV	MRXSCJ	Intellectual developmental disorder, X-linked, syndromic, Claes-Jensen type (MRXSCJ)	KDM5C	32109418
MRXSCJ_Weksberg	SNV	MRXSCJ	Intellectual developmental disorder, X-linked, syndromic, Claes-Jensen type (MRXSCJ)	KDM5C	23356856
ICF_1	SNV	ICF_1	Immunodeficiency-centromeric instability-facial anomalies syndrome 1 (ICF1)	DNMT3B	32109418
ICF2_3_4	SNV	ICF2_3_4	Immunodeficiency-centromeric instability-facial anomalies syndromes 2,3,4 (ICF2,3,4)	ZBTB24,CDCA7,HELLS	32109418
